record_type,id,label,packet,priority_or_status,claim_strength,safe_scope,claim_roles,entities,ingredients,summary
candidate_claim,CAND_MEMORY_UCHUNK_001985,supplier_relationship / ingredient_confirmation / sustainability_context: milk_dairy,dairy_milk_skim_milk_milk_fat,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context,,milk_dairy,"--- VISUAL OCR PAGE 1: page_001.png ---
7 Portugués TiéngViét Espafol Baas stSO} py i a
i e e ;
! hink USA Dairy Search for LQ | ;

Discover U.S. Dairy Supplier Search Using Dairy Nutrition & Trends About USDEC
Discover U.S. Dairy U.S. DAIRY PRODUCTS > MILK POWDERS > MILK POWDER CATEGORIES
Je See ee"
candidate_claim,CAND_MEMORY_UCHUNK_002117,"supplier_relationship / ingredient_confirmation / sustainability_context: hershey, land_olakes, cocoa_chocolate, milk_dairy",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context; manufacturing_or_process,hershey; land_olakes,cocoa_chocolate; milk_dairy,"thin a 100-mile radius of our chocolate
manufacturing plant in Hershey, PA. We also source milk-derived ingredients from suppliers
across the U.S. as well as New Zealand, and from suppliers in Brazil, India and Mexico for our
operations in those countries.
es e e
Supplier Engagement, Monitoring and
"
candidate_claim,CAND_MEMORY_UCHUNK_002002,supplier_relationship / ingredient_confirmation / sustainability_context: hershey,hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context,hershey,,"--- VISUAL OCR PAGE 1: page_001.png ---
CAREERS MEDIA INVESTORS
eS
HERSHEY < ABOUT US BRANDS INGREDIENTS SUSTAINABILITY INNOVATION NEWSROOM Q
f& > Home > Sustainability > Sustainability Issues
Palm Oil N
e
Our Approach to Responsibly Sourced
Palm Oil
Sustainably grown palm oil can also reduce pressu"
candidate_claim,CAND_MEMORY_UCHUNK_002186,"ingredient_confirmation / cost_or_price_benchmark / retail_price: hershey, cocoa_chocolate",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,ingredient_confirmation; cost_or_price_benchmark; retail_price; logistics_distribution; manufacturing_or_process,hershey,cocoa_chocolate,"olate and non-chocolate confectionery,
gum and refreshment products, protein bars, spreads, snack bites and mixes, as well as pantry and food service lines. This
segment also includes our retail operations, including Hershey’s Chocolate World stores in Hershey, Pennsylvania; New York,
New York; Las "
candidate_claim,CAND_MEMORY_UCHUNK_002187,"ingredient_confirmation / cost_or_price_benchmark: hershey, cocoa_chocolate",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,ingredient_confirmation; cost_or_price_benchmark,hershey,cocoa_chocolate,"nd.
Products and Brands
Our principal product offerings include chocolate and non-chocolate confectionery products; gum and mint refreshment products and
protein bars; snack items such as popcorn, pretzels, spreads, snack bites and mixes; and pantry items, such as baking ingredients,
toppings and be"
candidate_claim,CAND_MEMORY_UCHUNK_002192,"supplier_relationship / ingredient_confirmation / logistics_distribution: milk_dairy, packaging",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; logistics_distribution; sustainability_context; manufacturing_or_process,,milk_dairy; packaging,"rights under these agreements are extendible on a long-term basis at our option. Our most significant licensing
agreements are as follows:
Company Brand Location Requirements
Kraft Foods Ireland Intellectual Property york Paul Almond Jov Worldwide None
Limited/Cadbury UK Limited ond JOY
Peter Paul M"
candidate_claim,CAND_MEMORY_UCHUNK_002193,"supplier_relationship / ingredient_confirmation / logistics_distribution: hershey, cocoa_chocolate, packaging",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; logistics_distribution; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate; packaging,"are safe, are of
high quality and comply with applicable laws and regulations.
Through our Product Excellence Program, we evaluate our supply chain including ingredients, packaging, processes, products,
distribution and the environment to determine where product quality and safety controls are neces"
candidate_claim,CAND_MEMORY_UCHUNK_002194,"supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: hershey, cocoa_chocolate",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; sustainability_context,hershey,cocoa_chocolate,"ations, capital expenditures or competitive position.
Sustainability
The Company’s commitment to sustainability started with our founder’s belief in responsible citizenship. He was a purpose-driven
leader who believed we could use chocolate to Make More Moments of Goodness in the world for our consu"
candidate_claim,CAND_MEMORY_UCHUNK_002202,"supplier_relationship / ingredient_confirmation / sustainability_context: hershey, packaging",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context; manufacturing_or_process,hershey,packaging,"is Annual Report on Form 10-K or any other report filed with the SEC.

a
Table of Contents The Hershey Company | 2024 Form 10-K | Page 8 a

https://www.sec.gov/Archives/edgar/data/47 111/000004711125000014/hsy-20241231.htm 14/142

--- VISUAL OCR PAGE 15: page_015.png ---
5/6/26, 1:25 PM hsy-20241231"
candidate_claim,CAND_MEMORY_UCHUNK_002203,supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: packaging,hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; sustainability_context; manufacturing_or_process,,packaging,"to do so again in the future. Negative publicity related to these types of concerns, or related to product contamination or product
tampering, whether valid or not, could decrease demand for our products or cause production and delivery disruptions. In addition,
negative publicity related to our env"
candidate_claim,CAND_MEMORY_UCHUNK_002206,supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: cocoa_chocolate,hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; sustainability_context; manufacturing_or_process,,cocoa_chocolate,"olders on climate change issues, could negatively affect our business and operations.
Climate-related changes can increase variability in, or otherwise impact, natural disasters, including weather patterns, with the potential
for increased frequency and severity of significant weather events, natura"
candidate_claim,CAND_MEMORY_UCHUNK_002210,"supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: hershey, mclane, packaging",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; retail_price; logistics_distribution; sustainability_context; manufacturing_or_process,hershey; mclane,packaging,"mption. If we are not able to increase our selling prices or reduce product sizes (including if
inflation outpaces our pricing elasticity) sufficiently, or in a timely manner, to offset increased raw material, energy or other input costs,
including packaging, freight, tariffs, direct labor, overhead"
candidate_claim,CAND_MEMORY_UCHUNK_000007,"supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: hershey, cocoa_chocolate, packaging",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate; packaging,"--- PAGE 1 ---


--- PAGE 2 ---
Table of Contents
03 Making Good for Our Future
04 A Message from Our CEO
05 A Message from Our CSO
06 Double Materiality Assessment
07 Our ESG Approach and Priorities
08 Progress Toward Our Priority Goals
09 Stakeholder Engagement and 
Select Memberships and Partners"
candidate_claim,CAND_MEMORY_UCHUNK_000009,"supplier_relationship / ingredient_confirmation / sustainability_context: hershey, cocoa_chocolate, packaging",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate; packaging,"ve on our most material risks, 
opportunities and how we hold ourselves to the highest 
integrity, quality and safety standards. 
We remain committed to driving positive impact in our six 
sustainability focus areas: cocoa, environment, responsible 
sourcing and human rights, people, youth and commu"
candidate_claim,CAND_MEMORY_UCHUNK_000015,"supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: hershey, cocoa_chocolate, packaging",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate; packaging,"list of definitions for each material 
issue, see pages 115-116 of our 2023 ESG Report. 
Very High Impact
High Impact
Moderate Impact
Environmental 
Biodiversity
Soil health
Deforestation
Waste management
Energy management
GHG emissions and 
climate change
Packaging and end-of-life
Water use
Social
"
candidate_claim,CAND_MEMORY_UCHUNK_000016,"supplier_relationship / ingredient_confirmation / sustainability_context: hershey, cocoa_chocolate, packaging",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate; packaging,"ant ingredients. Improving 
farmer incomes and professionalizing farming practices 
promotes cocoa-growing communities’ well-being and the 
long-term security of cocoa supply. Economically secure 
communities are less likely to make choices that would 
damage natural ecosystems and impact our procur"
candidate_claim,CAND_MEMORY_UCHUNK_000018,"supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: hershey, cocoa_chocolate, packaging",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate; packaging,"representation across U.S. employees
2025
 28.5 %
8, 9
50% hazard reduction for job functions with ergonomic risks through process improvements
2025
 24.6 %
10
Youth
50 million children globally supported through education, nutrition, and social and emotional well-being
2025
34,820,750 children
11
1"
candidate_claim,CAND_MEMORY_UCHUNK_000026,"supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: hershey, cocoa_chocolate, packaging, sugar",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; retail_price; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate; packaging; sugar,"n and Cybersecurity
18
Marketing Responsibly
19
Our Progress
Our Values
Togetherness
Making a Difference
Integrity
Excellence
 Contents
Making Good
Our Company
Cocoa
Responsible Sourcing and Human Rights
Environment
Our People
Youth
Community
About This Report
12
The Hershey Company 2023 ESG Report
"
candidate_claim,CAND_MEMORY_UCHUNK_000027,"ingredient_confirmation / sustainability_context / manufacturing_or_process: hershey, natural_flavor, packaging, sugar",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,ingredient_confirmation; sustainability_context; manufacturing_or_process,hershey,natural_flavor; packaging; sugar,"tein or lead a more 
sustainable lifestyle, Hershey offers a wide range of 
options. 
Our portfolio is tailored to empower consumers to choose 
snacks that work for them, providing:
• Portion control 
• Reduced- and zero sugar
• Plant-based and other options 
To meet present and future consumer expe"
candidate_claim,CAND_MEMORY_UCHUNK_000031,"supplier_relationship / ingredient_confirmation / sustainability_context: hershey, cocoa_chocolate",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate,"ing for food safety, regulatory and quality activities 
in our manufacturing operations
→For a summary of our data on Food Safety and Nutrition and 
Health, see pages 19-20. 
→For more on our programs and training, visit our Food Safety 
Partners in Quality website.
One hundred and thirty years ago,"
candidate_claim,CAND_MEMORY_UCHUNK_000037,"supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: hershey, usda, cocoa_chocolate, packaging",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; sustainability_context; manufacturing_or_process,hershey; usda,cocoa_chocolate; packaging,"sured media, like television, 
in the U.S., we do not advertise on shows where 30% 
or more of the expected audience on average comprises 
children aged under 13. Our annual submission to CFBAI 
demonstrates compliance with our commitments. 
Hershey has also committed to Canada’s CCFBA. As with 
CFB"
candidate_claim,CAND_MEMORY_UCHUNK_000038,"supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: hershey, cocoa_chocolate, packaging",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate; packaging,"ensures that all claims and 
required labeling elements on any updated packaging 
comply with applicable law and regulations.
 Contents
Making Good
Our Company
Cocoa
Responsible Sourcing and Human Rights
Environment
Our People
Youth
Community
About This Report
18
The Hershey Company 2023 ESG Report
"
candidate_claim,CAND_MEMORY_UCHUNK_000067,"supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: hershey, cocoa_chocolate",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; sustainability_context,hershey,cocoa_chocolate,"maps. This analysis follows World Cocoa Foundation definitions and checks that all farm plots managed by a farmer are linked to received polygon maps before we consider a farmer to be mapped. This analysis also 
means that when reporting hectarage, Hershey's results now report the true total area, e"
candidate_claim,CAND_MEMORY_UCHUNK_000068,"supplier_relationship / ingredient_confirmation / sustainability_context: hershey, cocoa_chocolate",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate,"onsible Sourcing
46
Responsible Sourcing Supplier Program
48
Sourcing Our Priority Ingredients and Materials
53 
Our Progress
 Contents
Making Good
Our Company
Cocoa
Responsible Sourcing and Human Rights
Environment
Our People
Youth
Community
About This Report
37
The Hershey Company 2023 ESG Report
"
candidate_claim,CAND_MEMORY_UCHUNK_000072,"supplier_relationship / ingredient_confirmation / sustainability_context: hershey, cocoa_chocolate",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate,"ory Code of Conduct 
training for all professional employees
Deployed additional worker engagement surveys in Hershey-
owned and supplier facilities in Malaysia, Mexico and the U.S.
Conducted baseline assessment of cocoa farmer incomes
Initiated work on cocoa Income Accelerator Program 
Created huma"
candidate_claim,CAND_MEMORY_UCHUNK_000073,"supplier_relationship / ingredient_confirmation / sustainability_context: hershey, cocoa_chocolate",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate,"sessment in 2022 confirmed: 
• Key strengths include our governance structure, training 
and responsible sourcing and supply chain due diligence. 
• We have opportunities to improve rightsholder engagement, 
grievance mechanisms and access to remedy. We continue 
efforts to reinforce these area by c"
candidate_claim,CAND_MEMORY_UCHUNK_000082,"supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: hershey, cocoa_chocolate",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; logistics_distribution; sustainability_context,hershey,cocoa_chocolate,"is therefore 
committed to doing our part — see our climate 
commitments on pages 66-68.
 Contents
Making Good
Our Company
Cocoa
Responsible Sourcing and Human Rights
Environment
Our People
Youth
Community
About This Report
44
The Hershey Company 2023 ESG Report
1
Hershey supports the Global Living "
candidate_claim,CAND_MEMORY_UCHUNK_000086,"supplier_relationship / ingredient_confirmation / sustainability_context: hershey, cocoa_chocolate",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context,hershey,cocoa_chocolate,"our Supplier Program 
have demonstrated the 
importance of Hershey 
supporting suppliers 
on their continuous 
improvement journey. 
It improves the 
lives of people in our 
supply chain, so we 
remain committed to 
building supplier 
capabilities.”
Bethany Fitzgerald, Director, 
Global Responsible "
candidate_claim,CAND_MEMORY_UCHUNK_000087,"supplier_relationship / ingredient_confirmation / sustainability_context: hershey, cocoa_chocolate, milk_dairy, packaging, sugar",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate; milk_dairy; packaging; sugar,"ey Company 2023 ESG Report
* Coconut and eggs are not listed in this ESG Report as key ingredients 
and materials. They appear on this map because Hershey has public 
commitments related to sourcing both ingredients. Responsible sourcing 
ingredient commitments and progress may be found on page 58.
"
candidate_claim,CAND_MEMORY_UCHUNK_000088,"supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: hershey, land_olakes, milk_dairy",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; sustainability_context,hershey; land_olakes,milk_dairy,"airy Partnership 
(SDP) Dairy Sustainability Framework. Hershey requires 
suppliers to enroll in the SDP, undertake its evaluations 
and share progress reports with us. We are on track to 
source 100% of U.S. dairy ingredients from suppliers 
enrolled in and assessed through the SDP by the end 
of 2"
candidate_claim,CAND_MEMORY_UCHUNK_000099,"supplier_relationship / ingredient_confirmation / retail_price: hershey, cocoa_chocolate, packaging",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; retail_price; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate; packaging,"cturing sites and audits performed by 
supplier category
# of manufacturing 
sites enrolled and 
subject to audit
# of audits 
performed
# of manufacturing 
sites enrolled and 
subject to audit
# of audits 
performed
# of manufacturing 
sites enrolled and 
subject to audit
# of audits 
performed
Con"
candidate_claim,CAND_MEMORY_UCHUNK_000101,"supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: hershey, cocoa_chocolate, milk_dairy, packaging, sugar",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate; milk_dairy; packaging; sugar,".0
Rest of Asia
0.0
0.0
0.1
0.0
0.3
0.4
1.8
0.1
0.1
0.0
0.2
Rest of Latin America
0.0
0.3
0.0
0.0
0.3
0.0
1.3
0.3
0.0
0.0
0.3
 Contents
Making Good
Our Company
Cocoa
Responsible Sourcing and Human Rights
Environment
Our People
Youth
Community
About This Report
57
The Hershey Company 2023 ESG Report
"
candidate_claim,CAND_MEMORY_UCHUNK_000106,"supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: hershey, sugar",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; manufacturing_or_process,hershey,sugar,"re (FLAG), while 28.6% are classified as non-
FLAG. 
Hershey’s 2023 Scope 1 and Scope 2 data received 
limited assurance by Ernst & Young, LLP (EY). 
Our 2023 Scope 3 data was independently verified 
by Quantis.
2.4%
0.8%
96.8%
❶ Scope 1
❹ FLAG Total
❷ Scope 2
❺ Non-FLAG Total
❸ Scope 3
28.6%
71.4%
"
candidate_claim,CAND_MEMORY_UCHUNK_000114,"supplier_relationship / ingredient_confirmation / logistics_distribution: hershey, cocoa_chocolate, milk_dairy, packaging, sugar",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; logistics_distribution; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate; milk_dairy; packaging; sugar,"gar
❾ Specialty
❹ Peanuts
❿ Packaging 
  (pulp & paper)
❺ Palm
❻ Corn
⓫ Vegetable Oil
54.0%
19.7%
4.3%
3.8%
2.3%
1.3%
1.5%
1.0%
9.8%
0.2%
2.2%
25.2%
24.6%
26.7%
9.9%
6.5%
2.7% 3.2% 0.6%
0.6%
❶Packaging, 
including end-of-life
❻Co-manufacturing 
of our products
❷Transportation 
of Goods and Products
"
candidate_claim,CAND_MEMORY_UCHUNK_000117,"supplier_relationship / ingredient_confirmation / sustainability_context: hershey, cocoa_chocolate, milk_dairy, packaging, sugar",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate; milk_dairy; packaging; sugar,"lopment 
into scalable ways to help farmers overcome climate variability
• Continue to refine our FLAG and non-FLAG roadmaps 
 Contents
Making Good
Our Company
Cocoa
Responsible Sourcing and Human Rights
Environment
Our People
Youth
Community
About This Report
65
The Hershey Company 2023 ESG Report
"
candidate_claim,CAND_MEMORY_UCHUNK_000118,"supplier_relationship / ingredient_confirmation / retail_price: hershey, cocoa_chocolate, milk_dairy, packaging",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; retail_price; logistics_distribution; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate; milk_dairy; packaging,"proximately 80% achieved in 2023
Boosting energy efficiency through incremental 
improvements and capital investments in technology
Leaning into green building design as a way 
to moderate our impact as we grow
Packaging
• Designing packaging to minimize impact and for circularity, such as moving to"
candidate_claim,CAND_MEMORY_UCHUNK_000125,"supplier_relationship / ingredient_confirmation / sustainability_context: hershey, cocoa_chocolate, milk_dairy, sugar",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context,hershey,cocoa_chocolate; milk_dairy; sugar,"t Taking Action: Hershey Supports the Forest 
Through the Trees on our corporate website. 
 Contents
Making Good
Our Company
Cocoa
Responsible Sourcing and Human Rights
Environment
Our People
Youth
Community
About This Report
69
The Hershey Company 2023 ESG Report
Material ESG issue:
• Biodiversity
"
candidate_claim,CAND_MEMORY_UCHUNK_000126,"supplier_relationship / ingredient_confirmation / sustainability_context: hershey, cocoa_chocolate",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context,hershey,cocoa_chocolate,"Biodiversity Footprint of Hershey’s 
Ingredients With the Highest Land 
Use Impact
 Contents
Making Good
Our Company
Cocoa
Responsible Sourcing and Human Rights
Environment
Our People
Youth
Community
About This Report
70
The Hershey Company 2023 ESG Report
One Million Trees With 
Arbor Day Foundatio"
candidate_claim,CAND_MEMORY_UCHUNK_000130,"supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: hershey, cocoa_chocolate, packaging",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; sustainability_context; manufacturing_or_process,hershey,cocoa_chocolate; packaging,"dustrial recycled content. Opportunity realized. 
 Contents
Making Good
Our Company
Cocoa
Responsible Sourcing and Human Rights
Environment
Our People
Youth
Community
About This Report
71
The Hershey Company 2023 ESG Report
Material ESG issue:
• Packaging and end-of-life
1
Source: conservatree.org.
"
candidate_claim,CAND_MEMORY_UCHUNK_000209,"supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: hershey, packaging",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; sustainability_context; manufacturing_or_process,hershey,packaging,"and health
The company’s involvement in making healthy products widely available and affordable.
Sub-issues: Consumer well-being, children’s nutrition, transparency
Packaging and end-of-life
Minimizing the use of packaging and single-use plastics, including reducing unnecessary packaging, and implem"
candidate_claim,CAND_MEMORY_UCHUNK_000210,supplier_relationship / ingredient_confirmation / logistics_distribution: hershey,hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; logistics_distribution; sustainability_context; manufacturing_or_process,hershey,,"nt of a food product and its ingredients through all steps in the supply chain.
Sub-issues: Blockchain, supply chain transparency, risk management
Waste management
Responsible management and disposal of hazardous/non-hazardous waste in production and operations and where possible, reducing, recyclin"
candidate_claim,CAND_MEMORY_UCHUNK_002031,supplier_relationship / ingredient_confirmation / sustainability_context: hershey,hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context,hershey,,"--- VISUAL OCR PAGE 1: page_001.png ---
CAREERS MEDIA NVESTORS
HERSHEY.
ft Home Sustainability Progress on Priorities Responsible Sourcing
Sys ESE witRO VS Mere ho USER LIS SLE ATELIER LGC trae 2 be on —
bel! on mete ORES eed em - as ¢ ia 7
R ible S ‘ BVT AG i ay i Wasi, ie ‘W Wie \ ie: Ne
DHA NEG A"
candidate_claim,CAND_MEMORY_UCHUNK_002032,supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: hershey,hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; sustainability_context,hershey,,"communities by
addressing the social and economic challenges they face. Learn more about our Priority
Ingredients and Raw Materials below.
Responsibly Sourcing Goods and Services
Hershey is committed to delivering a resilient supply chain, and we count on our vast network of
suppliers and business p"
candidate_claim,CAND_MEMORY_UCHUNK_002034,"supplier_relationship / ingredient_confirmation / sustainability_context: hershey, cocoa_chocolate, milk_dairy, packaging, sugar",hershey_company,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; sustainability_context,hershey,cocoa_chocolate; milk_dairy; packaging; sugar,"er 2022.
1 Traceability is not a chain of custody concept and does not alone allow Hershey to identify the
specific source from where the ingredient comes in a given Hershey product.
Read more about each of our priority ingredients:
+ Cocoa
+ Dairy
+ Sugar
+ Palm Oil
+ Pulp and Paper
Responsible Sou"
candidate_claim,CAND_MEMORY_UCHUNK_002063,supplier_relationship / ingredient_confirmation / cost_or_price_benchmark: packaging,logistics_distribution,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation; cost_or_price_benchmark; retail_price; logistics_distribution; manufacturing_or_process,,packaging,"fluctuations to stay ahead.

In this article we will explore the challenges in CPG distribution, how they impact
businesses, and the solutions to overcome them efficiently.
Time to Market Challenges in CPG Distribution
1. Supply Chain Inefficiencies
https://simplydepo.com/news/cpg-distribution/ 2/12"
candidate_claim,CAND_MEMORY_UCHUNK_002164,ingredient_confirmation / manufacturing_or_process: natural_flavor,natural_flavor,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,ingredient_confirmation; manufacturing_or_process,,natural_flavor,"counter card, sign, or other appropriate device
bearing prominently and conspicuously the information required to be stated on the
label pursuant to section 403(k).
(f) A fruit or vegetable shall be exempt from compliance with the requirements of
section 403(k) of the act with respect to a chemical "
candidate_claim,CAND_MEMORY_UCHUNK_002165,"ingredient_confirmation / manufacturing_or_process: natural_flavor, packaging",natural_flavor,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,ingredient_confirmation; manufacturing_or_process,,natural_flavor; packaging,"4: page_004.png ---
5/6/26, 6:50 PM 21 CFR § 101.22 - Foods; labeling of spices, flavorings, colorings and chemical preservatives. | Electronic Code of Federal Regulati...
(h) The label of a food to which flavor is added shall declare the flavor in the
statement of ingredients in the following way:
"
candidate_claim,CAND_MEMORY_UCHUNK_002166,ingredient_confirmation: natural_flavor,natural_flavor,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,ingredient_confirmation,,natural_flavor,"enhancers, no protein hydrolysate used in food for its effects on flavor may be
declared simply as “flavor,” “natural flavor,” or “flavoring.” The ingredient shall be
declared by its specific common or usual name as provided in 8 102.22 of this
chapter.
(i) If the label, labeling, or advertising of "
candidate_claim,CAND_MEMORY_UCHUNK_002168,supplier_relationship / ingredient_confirmation: natural_flavor,natural_flavor,unified_memory_scan,direct_product_or_label_evidence,sku_or_label_level,supplier_relationship; ingredient_confirmation,,natural_flavor,"panel or
panels of the label shall be accompanied by the common or usual name(s) of the
characterizing flavor, in letters not less than one-half the height of the letters used
in the name of the food and the name of the characterizing flavor shall be
accompanied by the word(s) “artificial” or “artif"
